Amaranthaceae	Anacardiaceae	Apiaceae	Araucaria.Angustifolia	Arecaceae	Asteraceae	Cecropia	Celtis	Clethra	Drimys.Brasiliensis	Euphorbiaceae	Fabaceae	Hedyosmum.	Ilex	Lamanonia.speciosa.type	Malpighiaceae	Melastomataceae.Combretaceae	Moraceae.Urticaceae	Myrsine	Myrtaceae	Piper	Poaceae	Podocarpus	Rubiaceae	Sapindaceae	Solanaceae	Symplocos	Trema.type	Weinmannia
0.36101083	0	2.166064982	0	0	11.55234657	0	1.083032491	0	0	0.722021661	2.888086643	0	1.083032491	0	0	1.444043321	1.444043321	1.805054152	13.35740072	0	54.51263538	0	0.36101083	0	0	0	0.36101083	4.693140794
0	0	2.473498233	0.35335689	0	9.540636042	0	0.35335689	0	0	0	0.706713781	0	0.706713781	0	0	0.706713781	0	0.35335689	3.533568905	0	76.67844523	0.35335689	0	0	0	0.35335689	0	1.060070671
0	0	0.699300699	0.34965035	0	11.18881119	0	0.34965035	0	0	0.699300699	0.34965035	0	0.34965035	0	0	0.34965035	0	1.048951049	4.895104895	0	76.22377622	0	0	0.34965035	0	0	0	1.398601399
0.716845878	0	2.867383513	0	0	11.82795699	0	0.358422939	0	0	0.716845878	0.358422939	0	2.150537634	0	0	0	0	0.358422939	6.451612903	0	70.25089606	0.358422939	0	0	0	0.358422939	0	1.433691756
0	0	2.06185567	0.343642612	0.343642612	8.24742268	0	0.343642612	0	0	0	1.030927835	0.343642612	0.687285223	0	0	0.687285223	0	1.718213058	7.560137457	0	74.57044674	0	0	0	0	0	0	1.030927835
0.355871886	0	5.338078292	0	0	9.252669039	0	0.355871886	0	0	0.355871886	1.067615658	0	0.355871886	0	0	0.711743772	0	0	4.270462633	0	73.66548043	1.067615658	0	0	0	0	0	1.779359431
0	0	2.150537634	0	0	9.677419355	0	0	0	0	0	0.358422939	0	0.716845878	0	0	1.075268817	0.358422939	0.716845878	6.810035842	0	73.47670251	0	0.358422939	0	0	0.716845878	0	0.358422939
0	0	1.016949153	0	0	8.813559322	0	0.338983051	0	0.677966102	0	2.033898305	0	1.355932203	0	0	1.016949153	0.338983051	2.372881356	3.050847458	0	77.62711864	0.338983051	0	0	0	0	0	0
0	0.341296928	1.365187713	0	0	8.19112628	0	0.341296928	0	0	0	0.341296928	0	1.706484642	0	0	0.341296928	0	0.341296928	5.119453925	0	77.47440273	0	0	0	0	0	0	3.071672355
0.348432056	0	5.226480836	0	0.348432056	8.362369338	0	0	0	0	0	0.696864111	0	1.045296167	0	0	0	0	0	3.135888502	0	76.65505226	0	0	0	0	0	0	1.045296167
